fid,username,display_name,follower_count,following_count,last_cast_date,days_inactive
254,"aggressive_254","Aggressive User 254",3946,1183,"2024-01-01",133
383,"aggressive_383","Aggressive User 383",2661,798,"2024-01-01",73
318,"aggressive_318","Aggressive User 318",1106,331,"2024-01-01",132
389,"aggressive_389","Aggressive User 389",3251,975,"2024-01-01",93
462,"aggressive_462","Aggressive User 462",2477,743,"2024-01-01",174
252,"aggressive_252","Aggressive User 252",2719,815,"2024-01-01",138
293,"aggressive_293","Aggressive User 293",3559,1067,"2024-01-01",172
229,"aggressive_229","Aggressive User 229",1699,509,"2024-01-01",94
259,"aggressive_259","Aggressive User 259",131,39,"2024-01-01",185
427,"aggressive_427","Aggressive User 427",607,182,"2024-01-01",208
257,"aggressive_257","Aggressive User 257",2519,755,"2024-01-01",67
496,"aggressive_496","Aggressive User 496",386,115,"2024-01-01",179
492,"aggressive_492","Aggressive User 492",3195,958,"2024-01-01",142
209,"aggressive_209","Aggressive User 209",2300,690,"2024-01-01",97
2111,"aggressive_2111","Aggressive User 2111",1949,584,"2024-01-01",87
1781,"aggressive_1781","Aggressive User 1781",807,242,"2024-01-01",155
1464,"aggressive_1464","Aggressive User 1464",3640,1092,"2024-01-01",139
1544,"aggressive_1544","Aggressive User 1544",1876,562,"2024-01-01",118
2305,"aggressive_2305","Aggressive User 2305",3503,1050,"2024-01-01",201
2541,"aggressive_2541","Aggressive User 2541",515,154,"2024-01-01",105
1162,"aggressive_1162","Aggressive User 1162",1520,456,"2024-01-01",181
2374,"aggressive_2374","Aggressive User 2374",3298,989,"2024-01-01",170
1990,"aggressive_1990","Aggressive User 1990",2609,782,"2024-01-01",168
1931,"aggressive_1931","Aggressive User 1931",3824,1147,"2024-01-01",195
1148,"aggressive_1148","Aggressive User 1148",429,128,"2024-01-01",105
10092,"aggressive_10092","Aggressive User 10092",2737,821,"2024-01-01",196
11902,"aggressive_11902","Aggressive User 11902",3014,904,"2024-01-01",118
12754,"aggressive_12754","Aggressive User 12754",525,157,"2024-01-01",108
13300,"aggressive_13300","Aggressive User 13300",3217,965,"2024-01-01",157
10235,"aggressive_10235","Aggressive User 10235",537,161,"2024-01-01",138
8210,"aggressive_8210","Aggressive User 8210",1574,472,"2024-01-01",118
11311,"aggressive_11311","Aggressive User 11311",401,120,"2024-01-01",182
13302,"aggressive_13302","Aggressive User 13302",3728,1118,"2024-01-01",129
26947,"aggressive_26947","Aggressive User 26947",763,228,"2024-01-01",106
22781,"aggressive_22781","Aggressive User 22781",106,31,"2024-01-01",99
15927,"aggressive_15927","Aggressive User 15927",3334,1000,"2024-01-01",97
15165,"aggressive_15165","Aggressive User 15165",1576,472,"2024-01-01",79
17824,"aggressive_17824","Aggressive User 17824",413,123,"2024-01-01",147
28639,"aggressive_28639","Aggressive User 28639",2305,691,"2024-01-01",191
16241,"aggressive_16241","Aggressive User 16241",993,297,"2024-01-01",148
27704,"aggressive_27704","Aggressive User 27704",3506,1051,"2024-01-01",137
15353,"aggressive_15353","Aggressive User 15353",2331,699,"2024-01-01",209
26948,"aggressive_26948","Aggressive User 26948",686,205,"2024-01-01",159
22541,"aggressive_22541","Aggressive User 22541",625,187,"2024-01-01",137
32788,"aggressive_32788","Aggressive User 32788",711,213,"2024-01-01",100
33129,"aggressive_33129","Aggressive User 33129",4044,1213,"2024-01-01",104
35548,"aggressive_35548","Aggressive User 35548",1912,573,"2024-01-01",106
32060,"aggressive_32060","Aggressive User 32060",451,135,"2024-01-01",130
35750,"aggressive_35750","Aggressive User 35750",2647,794,"2024-01-01",139
45605,"aggressive_45605","Aggressive User 45605",931,279,"2024-01-01",97
39435,"aggressive_39435","Aggressive User 39435",1780,534,"2024-01-01",208
32753,"aggressive_32753","Aggressive User 32753",2365,709,"2024-01-01",112
