fid,username,display_name,follower_count,following_count,last_cast_date,days_inactive
358,"aggressive_358","Aggressive User 358",877,263,"2024-01-01",204
265,"aggressive_265","Aggressive User 265",912,273,"2024-01-01",107
221,"aggressive_221","Aggressive User 221",3640,1092,"2024-01-01",124
394,"aggressive_394","Aggressive User 394",2229,668,"2024-01-01",104
135,"aggressive_135","Aggressive User 135",2107,632,"2024-01-01",165
337,"aggressive_337","Aggressive User 337",634,190,"2024-01-01",148
188,"aggressive_188","Aggressive User 188",2650,795,"2024-01-01",182
353,"aggressive_353","Aggressive User 353",1245,373,"2024-01-01",168
120,"aggressive_120","Aggressive User 120",2759,827,"2024-01-01",76
162,"aggressive_162","Aggressive User 162",2296,688,"2024-01-01",75
161,"aggressive_161","Aggressive User 161",3225,967,"2024-01-01",100
388,"aggressive_388","Aggressive User 388",2022,606,"2024-01-01",168
279,"aggressive_279","Aggressive User 279",2862,858,"2024-01-01",104
469,"aggressive_469","Aggressive User 469",2890,867,"2024-01-01",172
485,"aggressive_485","Aggressive User 485",2108,632,"2024-01-01",113
258,"aggressive_258","Aggressive User 258",1971,591,"2024-01-01",162
1985,"aggressive_1985","Aggressive User 1985",1454,436,"2024-01-01",161
2731,"aggressive_2731","Aggressive User 2731",1815,544,"2024-01-01",128
1591,"aggressive_1591","Aggressive User 1591",2691,807,"2024-01-01",173
2048,"aggressive_2048","Aggressive User 2048",3393,1017,"2024-01-01",157
2345,"aggressive_2345","Aggressive User 2345",3044,913,"2024-01-01",205
1568,"aggressive_1568","Aggressive User 1568",3537,1061,"2024-01-01",158
2988,"aggressive_2988","Aggressive User 2988",3027,908,"2024-01-01",147
1186,"aggressive_1186","Aggressive User 1186",2785,835,"2024-01-01",179
1971,"aggressive_1971","Aggressive User 1971",483,144,"2024-01-01",163
2083,"aggressive_2083","Aggressive User 2083",2905,871,"2024-01-01",60
1051,"aggressive_1051","Aggressive User 1051",3896,1168,"2024-01-01",168
2080,"aggressive_2080","Aggressive User 2080",1742,522,"2024-01-01",179
2236,"aggressive_2236","Aggressive User 2236",2283,684,"2024-01-01",72
2494,"aggressive_2494","Aggressive User 2494",2155,646,"2024-01-01",209
7760,"aggressive_7760","Aggressive User 7760",598,179,"2024-01-01",182
14231,"aggressive_14231","Aggressive User 14231",508,152,"2024-01-01",135
5955,"aggressive_5955","Aggressive User 5955",703,210,"2024-01-01",85
9800,"aggressive_9800","Aggressive User 9800",3919,1175,"2024-01-01",165
8252,"aggressive_8252","Aggressive User 8252",1476,442,"2024-01-01",129
12091,"aggressive_12091","Aggressive User 12091",2946,883,"2024-01-01",67
8072,"aggressive_8072","Aggressive User 8072",857,257,"2024-01-01",139
8517,"aggressive_8517","Aggressive User 8517",3955,1186,"2024-01-01",147
14582,"aggressive_14582","Aggressive User 14582",1048,314,"2024-01-01",193
6460,"aggressive_6460","Aggressive User 6460",341,102,"2024-01-01",184
11743,"aggressive_11743","Aggressive User 11743",3963,1188,"2024-01-01",187
5989,"aggressive_5989","Aggressive User 5989",1370,411,"2024-01-01",165
6482,"aggressive_6482","Aggressive User 6482",2954,886,"2024-01-01",179
14954,"aggressive_14954","Aggressive User 14954",2529,758,"2024-01-01",168
14946,"aggressive_14946","Aggressive User 14946",573,171,"2024-01-01",61
23381,"aggressive_23381","Aggressive User 23381",2828,848,"2024-01-01",98
27694,"aggressive_27694","Aggressive User 27694",2355,706,"2024-01-01",97
19199,"aggressive_19199","Aggressive User 19199",85,25,"2024-01-01",93
24955,"aggressive_24955","Aggressive User 24955",2660,798,"2024-01-01",67
22094,"aggressive_22094","Aggressive User 22094",184,55,"2024-01-01",206
29370,"aggressive_29370","Aggressive User 29370",808,242,"2024-01-01",71
17632,"aggressive_17632","Aggressive User 17632",351,105,"2024-01-01",101
33657,"aggressive_33657","Aggressive User 33657",2441,732,"2024-01-01",152
35994,"aggressive_35994","Aggressive User 35994",3959,1187,"2024-01-01",111
45623,"aggressive_45623","Aggressive User 45623",3742,1122,"2024-01-01",111
33099,"aggressive_33099","Aggressive User 33099",3655,1096,"2024-01-01",75
44634,"aggressive_44634","Aggressive User 44634",2072,621,"2024-01-01",112
40572,"aggressive_40572","Aggressive User 40572",574,172,"2024-01-01",70
44342,"aggressive_44342","Aggressive User 44342",3320,996,"2024-01-01",66
