fid,username,display_name,follower_count,following_count,last_cast_date,days_inactive
376,"aggressive_376","Aggressive User 376",3545,1063,"2024-01-01",177
415,"aggressive_415","Aggressive User 415",2475,742,"2024-01-01",133
111,"aggressive_111","Aggressive User 111",1790,537,"2024-01-01",193
166,"aggressive_166","Aggressive User 166",2728,818,"2024-01-01",101
228,"aggressive_228","Aggressive User 228",2144,643,"2024-01-01",171
174,"aggressive_174","Aggressive User 174",1498,449,"2024-01-01",87
477,"aggressive_477","Aggressive User 477",330,99,"2024-01-01",165
445,"aggressive_445","Aggressive User 445",2898,869,"2024-01-01",183
371,"aggressive_371","Aggressive User 371",2931,879,"2024-01-01",91
474,"aggressive_474","Aggressive User 474",1982,594,"2024-01-01",120
321,"aggressive_321","Aggressive User 321",2144,643,"2024-01-01",183
253,"aggressive_253","Aggressive User 253",1168,350,"2024-01-01",191
374,"aggressive_374","Aggressive User 374",247,74,"2024-01-01",100
339,"aggressive_339","Aggressive User 339",793,237,"2024-01-01",157
193,"aggressive_193","Aggressive User 193",2048,614,"2024-01-01",107
116,"aggressive_116","Aggressive User 116",124,37,"2024-01-01",106
176,"aggressive_176","Aggressive User 176",1693,507,"2024-01-01",148
428,"aggressive_428","Aggressive User 428",485,145,"2024-01-01",207
217,"aggressive_217","Aggressive User 217",574,172,"2024-01-01",83
244,"aggressive_244","Aggressive User 244",3793,1137,"2024-01-01",108
2749,"aggressive_2749","Aggressive User 2749",4024,1207,"2024-01-01",146
2744,"aggressive_2744","Aggressive User 2744",3002,900,"2024-01-01",133
1988,"aggressive_1988","Aggressive User 1988",789,236,"2024-01-01",165
1460,"aggressive_1460","Aggressive User 1460",2651,795,"2024-01-01",110
2022,"aggressive_2022","Aggressive User 2022",3277,983,"2024-01-01",77
2982,"aggressive_2982","Aggressive User 2982",3950,1185,"2024-01-01",65
1531,"aggressive_1531","Aggressive User 1531",1444,433,"2024-01-01",147
1183,"aggressive_1183","Aggressive User 1183",1719,515,"2024-01-01",161
2429,"aggressive_2429","Aggressive User 2429",3118,935,"2024-01-01",193
11850,"aggressive_11850","Aggressive User 11850",1299,389,"2024-01-01",202
12797,"aggressive_12797","Aggressive User 12797",840,252,"2024-01-01",179
11781,"aggressive_11781","Aggressive User 11781",1891,567,"2024-01-01",74
10333,"aggressive_10333","Aggressive User 10333",2714,814,"2024-01-01",118
10490,"aggressive_10490","Aggressive User 10490",358,107,"2024-01-01",172
13011,"aggressive_13011","Aggressive User 13011",2801,840,"2024-01-01",148
9820,"aggressive_9820","Aggressive User 9820",2459,737,"2024-01-01",164
6326,"aggressive_6326","Aggressive User 6326",1872,561,"2024-01-01",81
25546,"aggressive_25546","Aggressive User 25546",543,162,"2024-01-01",94
17536,"aggressive_17536","Aggressive User 17536",864,259,"2024-01-01",209
20069,"aggressive_20069","Aggressive User 20069",944,283,"2024-01-01",91
16161,"aggressive_16161","Aggressive User 16161",1182,354,"2024-01-01",79
25321,"aggressive_25321","Aggressive User 25321",1108,332,"2024-01-01",159
24165,"aggressive_24165","Aggressive User 24165",211,63,"2024-01-01",125
19598,"aggressive_19598","Aggressive User 19598",1623,486,"2024-01-01",121
24712,"aggressive_24712","Aggressive User 24712",2881,864,"2024-01-01",142
25329,"aggressive_25329","Aggressive User 25329",2096,628,"2024-01-01",145
29737,"aggressive_29737","Aggressive User 29737",2082,624,"2024-01-01",99
26865,"aggressive_26865","Aggressive User 26865",1984,595,"2024-01-01",141
29921,"aggressive_29921","Aggressive User 29921",3365,1009,"2024-01-01",73
15101,"aggressive_15101","Aggressive User 15101",1677,503,"2024-01-01",183
28006,"aggressive_28006","Aggressive User 28006",2887,866,"2024-01-01",85
32292,"aggressive_32292","Aggressive User 32292",2334,700,"2024-01-01",66
35021,"aggressive_35021","Aggressive User 35021",440,132,"2024-01-01",170
38596,"aggressive_38596","Aggressive User 38596",3142,942,"2024-01-01",118
45354,"aggressive_45354","Aggressive User 45354",2866,859,"2024-01-01",204
30935,"aggressive_30935","Aggressive User 30935",549,164,"2024-01-01",61
