fid,username,display_name,follower_count,following_count,last_cast_date,days_inactive
358,"aggressive_358","Aggressive User 358",1548,464,"2024-01-01",198
106,"aggressive_106","Aggressive User 106",91,27,"2024-01-01",74
348,"aggressive_348","Aggressive User 348",3135,940,"2024-01-01",183
361,"aggressive_361","Aggressive User 361",3194,958,"2024-01-01",165
203,"aggressive_203","Aggressive User 203",2062,618,"2024-01-01",84
151,"aggressive_151","Aggressive User 151",1875,562,"2024-01-01",74
278,"aggressive_278","Aggressive User 278",2169,650,"2024-01-01",82
118,"aggressive_118","Aggressive User 118",3116,934,"2024-01-01",84
279,"aggressive_279","Aggressive User 279",1187,356,"2024-01-01",109
446,"aggressive_446","Aggressive User 446",2467,740,"2024-01-01",102
218,"aggressive_218","Aggressive User 218",676,202,"2024-01-01",131
237,"aggressive_237","Aggressive User 237",1927,578,"2024-01-01",96
296,"aggressive_296","Aggressive User 296",367,110,"2024-01-01",65
1829,"aggressive_1829","Aggressive User 1829",2812,843,"2024-01-01",153
1283,"aggressive_1283","Aggressive User 1283",2418,725,"2024-01-01",153
1008,"aggressive_1008","Aggressive User 1008",3134,940,"2024-01-01",76
1231,"aggressive_1231","Aggressive User 1231",334,100,"2024-01-01",66
2161,"aggressive_2161","Aggressive User 2161",3555,1066,"2024-01-01",61
2048,"aggressive_2048","Aggressive User 2048",696,208,"2024-01-01",117
1543,"aggressive_1543","Aggressive User 1543",3082,924,"2024-01-01",154
1693,"aggressive_1693","Aggressive User 1693",383,114,"2024-01-01",147
1659,"aggressive_1659","Aggressive User 1659",797,239,"2024-01-01",201
1432,"aggressive_1432","Aggressive User 1432",3357,1007,"2024-01-01",188
1247,"aggressive_1247","Aggressive User 1247",612,183,"2024-01-01",185
1127,"aggressive_1127","Aggressive User 1127",578,173,"2024-01-01",85
2814,"aggressive_2814","Aggressive User 2814",3455,1036,"2024-01-01",115
1006,"aggressive_1006","Aggressive User 1006",1319,395,"2024-01-01",64
1597,"aggressive_1597","Aggressive User 1597",1595,478,"2024-01-01",93
1521,"aggressive_1521","Aggressive User 1521",1640,492,"2024-01-01",74
1744,"aggressive_1744","Aggressive User 1744",204,61,"2024-01-01",198
14358,"aggressive_14358","Aggressive User 14358",874,262,"2024-01-01",166
7792,"aggressive_7792","Aggressive User 7792",703,210,"2024-01-01",140
13139,"aggressive_13139","Aggressive User 13139",549,164,"2024-01-01",128
8643,"aggressive_8643","Aggressive User 8643",1025,307,"2024-01-01",194
6759,"aggressive_6759","Aggressive User 6759",3187,956,"2024-01-01",164
13805,"aggressive_13805","Aggressive User 13805",2080,624,"2024-01-01",151
9226,"aggressive_9226","Aggressive User 9226",2999,899,"2024-01-01",99
5060,"aggressive_5060","Aggressive User 5060",2110,633,"2024-01-01",165
7679,"aggressive_7679","Aggressive User 7679",962,288,"2024-01-01",103
10803,"aggressive_10803","Aggressive User 10803",1740,522,"2024-01-01",117
14521,"aggressive_14521","Aggressive User 14521",2401,720,"2024-01-01",162
10773,"aggressive_10773","Aggressive User 10773",1716,514,"2024-01-01",157
15849,"aggressive_15849","Aggressive User 15849",2201,660,"2024-01-01",80
16809,"aggressive_16809","Aggressive User 16809",3517,1055,"2024-01-01",84
15989,"aggressive_15989","Aggressive User 15989",2764,829,"2024-01-01",143
22804,"aggressive_22804","Aggressive User 22804",3238,971,"2024-01-01",100
25043,"aggressive_25043","Aggressive User 25043",1265,379,"2024-01-01",72
21022,"aggressive_21022","Aggressive User 21022",2438,731,"2024-01-01",126
25540,"aggressive_25540","Aggressive User 25540",3804,1141,"2024-01-01",201
26723,"aggressive_26723","Aggressive User 26723",198,59,"2024-01-01",100
28345,"aggressive_28345","Aggressive User 28345",566,169,"2024-01-01",122
35994,"aggressive_35994","Aggressive User 35994",2617,785,"2024-01-01",141
39344,"aggressive_39344","Aggressive User 39344",486,145,"2024-01-01",182
42956,"aggressive_42956","Aggressive User 42956",2036,610,"2024-01-01",145
46324,"aggressive_46324","Aggressive User 46324",2205,661,"2024-01-01",98
30333,"aggressive_30333","Aggressive User 30333",3761,1128,"2024-01-01",160
34236,"aggressive_34236","Aggressive User 34236",478,143,"2024-01-01",110
48059,"aggressive_48059","Aggressive User 48059",3332,999,"2024-01-01",127
33887,"aggressive_33887","Aggressive User 33887",2242,672,"2024-01-01",161
