fid,username,display_name,follower_count,following_count,last_cast_date,days_inactive
429,"aggressive_429","Aggressive User 429",421,126,"2024-01-01",180
266,"aggressive_266","Aggressive User 266",88,26,"2024-01-01",191
341,"aggressive_341","Aggressive User 341",143,42,"2024-01-01",69
413,"aggressive_413","Aggressive User 413",1736,520,"2024-01-01",165
479,"aggressive_479","Aggressive User 479",1387,416,"2024-01-01",142
241,"aggressive_241","Aggressive User 241",1805,541,"2024-01-01",183
382,"aggressive_382","Aggressive User 382",1100,330,"2024-01-01",128
251,"aggressive_251","Aggressive User 251",452,135,"2024-01-01",133
163,"aggressive_163","Aggressive User 163",2429,728,"2024-01-01",105
442,"aggressive_442","Aggressive User 442",360,108,"2024-01-01",208
157,"aggressive_157","Aggressive User 157",1125,337,"2024-01-01",171
407,"aggressive_407","Aggressive User 407",1358,407,"2024-01-01",136
431,"aggressive_431","Aggressive User 431",1404,421,"2024-01-01",99
2424,"aggressive_2424","Aggressive User 2424",3508,1052,"2024-01-01",127
2300,"aggressive_2300","Aggressive User 2300",1661,498,"2024-01-01",193
1971,"aggressive_1971","Aggressive User 1971",1559,467,"2024-01-01",108
1944,"aggressive_1944","Aggressive User 1944",3014,904,"2024-01-01",155
2560,"aggressive_2560","Aggressive User 2560",453,135,"2024-01-01",208
1759,"aggressive_1759","Aggressive User 1759",1240,372,"2024-01-01",167
2548,"aggressive_2548","Aggressive User 2548",1404,421,"2024-01-01",183
1218,"aggressive_1218","Aggressive User 1218",897,269,"2024-01-01",126
2273,"aggressive_2273","Aggressive User 2273",3101,930,"2024-01-01",74
2305,"aggressive_2305","Aggressive User 2305",252,75,"2024-01-01",67
1232,"aggressive_1232","Aggressive User 1232",3093,927,"2024-01-01",113
1063,"aggressive_1063","Aggressive User 1063",3609,1082,"2024-01-01",119
1374,"aggressive_1374","Aggressive User 1374",2078,623,"2024-01-01",196
1457,"aggressive_1457","Aggressive User 1457",3441,1032,"2024-01-01",94
1794,"aggressive_1794","Aggressive User 1794",414,124,"2024-01-01",204
2395,"aggressive_2395","Aggressive User 2395",254,76,"2024-01-01",179
14922,"aggressive_14922","Aggressive User 14922",2895,868,"2024-01-01",80
14428,"aggressive_14428","Aggressive User 14428",3348,1004,"2024-01-01",91
7086,"aggressive_7086","Aggressive User 7086",3895,1168,"2024-01-01",147
8542,"aggressive_8542","Aggressive User 8542",811,243,"2024-01-01",74
6910,"aggressive_6910","Aggressive User 6910",1431,429,"2024-01-01",133
9213,"aggressive_9213","Aggressive User 9213",3333,999,"2024-01-01",99
11040,"aggressive_11040","Aggressive User 11040",3339,1001,"2024-01-01",110
22824,"aggressive_22824","Aggressive User 22824",214,64,"2024-01-01",163
24741,"aggressive_24741","Aggressive User 24741",1037,311,"2024-01-01",129
26550,"aggressive_26550","Aggressive User 26550",2241,672,"2024-01-01",81
24226,"aggressive_24226","Aggressive User 24226",1656,496,"2024-01-01",166
19877,"aggressive_19877","Aggressive User 19877",3786,1135,"2024-01-01",116
16902,"aggressive_16902","Aggressive User 16902",469,140,"2024-01-01",188
23959,"aggressive_23959","Aggressive User 23959",1803,540,"2024-01-01",118
20422,"aggressive_20422","Aggressive User 20422",983,294,"2024-01-01",155
33466,"aggressive_33466","Aggressive User 33466",73,21,"2024-01-01",186
38714,"aggressive_38714","Aggressive User 38714",2558,767,"2024-01-01",197
48406,"aggressive_48406","Aggressive User 48406",439,131,"2024-01-01",87
48092,"aggressive_48092","Aggressive User 48092",2590,777,"2024-01-01",169
41451,"aggressive_41451","Aggressive User 41451",2886,865,"2024-01-01",89
34338,"aggressive_34338","Aggressive User 34338",2410,723,"2024-01-01",123
48411,"aggressive_48411","Aggressive User 48411",50,15,"2024-01-01",195
46663,"aggressive_46663","Aggressive User 46663",799,239,"2024-01-01",85
