fid,username,display_name,follower_count,following_count,last_cast_date,days_inactive
359,"aggressive_359","Aggressive User 359",2345,703,"2024-01-01",138
111,"aggressive_111","Aggressive User 111",1043,312,"2024-01-01",79
107,"aggressive_107","Aggressive User 107",2192,657,"2024-01-01",167
417,"aggressive_417","Aggressive User 417",2078,623,"2024-01-01",145
491,"aggressive_491","Aggressive User 491",2167,650,"2024-01-01",187
123,"aggressive_123","Aggressive User 123",3738,1121,"2024-01-01",203
150,"aggressive_150","Aggressive User 150",3004,901,"2024-01-01",168
162,"aggressive_162","Aggressive User 162",1579,473,"2024-01-01",134
378,"aggressive_378","Aggressive User 378",1035,310,"2024-01-01",123
381,"aggressive_381","Aggressive User 381",512,153,"2024-01-01",169
144,"aggressive_144","Aggressive User 144",1638,491,"2024-01-01",80
459,"aggressive_459","Aggressive User 459",3433,1029,"2024-01-01",89
189,"aggressive_189","Aggressive User 189",3344,1003,"2024-01-01",81
193,"aggressive_193","Aggressive User 193",1216,364,"2024-01-01",192
200,"aggressive_200","Aggressive User 200",2079,623,"2024-01-01",105
498,"aggressive_498","Aggressive User 498",2807,842,"2024-01-01",146
489,"aggressive_489","Aggressive User 489",1053,315,"2024-01-01",191
2790,"aggressive_2790","Aggressive User 2790",1391,417,"2024-01-01",125
1575,"aggressive_1575","Aggressive User 1575",2290,687,"2024-01-01",131
1209,"aggressive_1209","Aggressive User 1209",1724,517,"2024-01-01",136
2682,"aggressive_2682","Aggressive User 2682",2045,613,"2024-01-01",94
2111,"aggressive_2111","Aggressive User 2111",3466,1039,"2024-01-01",87
2283,"aggressive_2283","Aggressive User 2283",1590,477,"2024-01-01",149
2355,"aggressive_2355","Aggressive User 2355",103,30,"2024-01-01",196
2906,"aggressive_2906","Aggressive User 2906",464,139,"2024-01-01",191
1714,"aggressive_1714","Aggressive User 1714",594,178,"2024-01-01",89
2848,"aggressive_2848","Aggressive User 2848",3453,1035,"2024-01-01",180
2184,"aggressive_2184","Aggressive User 2184",1078,323,"2024-01-01",204
2294,"aggressive_2294","Aggressive User 2294",567,170,"2024-01-01",83
1934,"aggressive_1934","Aggressive User 1934",858,257,"2024-01-01",104
2316,"aggressive_2316","Aggressive User 2316",2028,608,"2024-01-01",109
11727,"aggressive_11727","Aggressive User 11727",748,224,"2024-01-01",77
9663,"aggressive_9663","Aggressive User 9663",2367,710,"2024-01-01",152
14263,"aggressive_14263","Aggressive User 14263",3865,1159,"2024-01-01",190
9018,"aggressive_9018","Aggressive User 9018",94,28,"2024-01-01",96
7358,"aggressive_7358","Aggressive User 7358",2093,627,"2024-01-01",177
10513,"aggressive_10513","Aggressive User 10513",235,70,"2024-01-01",142
12813,"aggressive_12813","Aggressive User 12813",2743,822,"2024-01-01",173
8381,"aggressive_8381","Aggressive User 8381",2022,606,"2024-01-01",95
13109,"aggressive_13109","Aggressive User 13109",2392,717,"2024-01-01",150
11054,"aggressive_11054","Aggressive User 11054",679,203,"2024-01-01",104
21595,"aggressive_21595","Aggressive User 21595",495,148,"2024-01-01",209
18763,"aggressive_18763","Aggressive User 18763",318,95,"2024-01-01",116
16985,"aggressive_16985","Aggressive User 16985",1970,591,"2024-01-01",133
29021,"aggressive_29021","Aggressive User 29021",2229,668,"2024-01-01",64
18325,"aggressive_18325","Aggressive User 18325",86,25,"2024-01-01",179
17367,"aggressive_17367","Aggressive User 17367",2964,889,"2024-01-01",66
27810,"aggressive_27810","Aggressive User 27810",3799,1139,"2024-01-01",114
19028,"aggressive_19028","Aggressive User 19028",3488,1046,"2024-01-01",153
25395,"aggressive_25395","Aggressive User 25395",145,43,"2024-01-01",190
15874,"aggressive_15874","Aggressive User 15874",2455,736,"2024-01-01",194
18642,"aggressive_18642","Aggressive User 18642",1575,472,"2024-01-01",70
31545,"aggressive_31545","Aggressive User 31545",4010,1203,"2024-01-01",205
42133,"aggressive_42133","Aggressive User 42133",2921,876,"2024-01-01",88
36120,"aggressive_36120","Aggressive User 36120",602,180,"2024-01-01",126
42349,"aggressive_42349","Aggressive User 42349",770,231,"2024-01-01",118
39480,"aggressive_39480","Aggressive User 39480",3298,989,"2024-01-01",84
41135,"aggressive_41135","Aggressive User 41135",1438,431,"2024-01-01",89
39896,"aggressive_39896","Aggressive User 39896",3102,930,"2024-01-01",121
39633,"aggressive_39633","Aggressive User 39633",2742,822,"2024-01-01",165
34385,"aggressive_34385","Aggressive User 34385",1834,550,"2024-01-01",208
41336,"aggressive_41336","Aggressive User 41336",1133,339,"2024-01-01",69
31696,"aggressive_31696","Aggressive User 31696",2398,719,"2024-01-01",199
