fid,username,display_name,follower_count,following_count,last_cast_date,days_inactive
291,"aggressive_291","Aggressive User 291",988,296,"2024-01-01",93
143,"aggressive_143","Aggressive User 143",2425,727,"2024-01-01",88
137,"aggressive_137","Aggressive User 137",1293,387,"2024-01-01",169
103,"aggressive_103","Aggressive User 103",233,69,"2024-01-01",69
155,"aggressive_155","Aggressive User 155",2876,862,"2024-01-01",87
270,"aggressive_270","Aggressive User 270",1146,343,"2024-01-01",86
425,"aggressive_425","Aggressive User 425",380,114,"2024-01-01",80
493,"aggressive_493","Aggressive User 493",162,48,"2024-01-01",189
361,"aggressive_361","Aggressive User 361",2608,782,"2024-01-01",167
275,"aggressive_275","Aggressive User 275",1810,543,"2024-01-01",160
392,"aggressive_392","Aggressive User 392",1796,538,"2024-01-01",201
2841,"aggressive_2841","Aggressive User 2841",1034,310,"2024-01-01",146
2111,"aggressive_2111","Aggressive User 2111",3973,1191,"2024-01-01",128
2490,"aggressive_2490","Aggressive User 2490",1504,451,"2024-01-01",134
2961,"aggressive_2961","Aggressive User 2961",561,168,"2024-01-01",99
2986,"aggressive_2986","Aggressive User 2986",3802,1140,"2024-01-01",204
5398,"aggressive_5398","Aggressive User 5398",3017,905,"2024-01-01",126
10438,"aggressive_10438","Aggressive User 10438",1756,526,"2024-01-01",207
6648,"aggressive_6648","Aggressive User 6648",2260,678,"2024-01-01",190
14765,"aggressive_14765","Aggressive User 14765",2382,714,"2024-01-01",70
8471,"aggressive_8471","Aggressive User 8471",4016,1204,"2024-01-01",77
11777,"aggressive_11777","Aggressive User 11777",1090,327,"2024-01-01",181
6902,"aggressive_6902","Aggressive User 6902",464,139,"2024-01-01",92
7617,"aggressive_7617","Aggressive User 7617",1496,448,"2024-01-01",118
14413,"aggressive_14413","Aggressive User 14413",3347,1004,"2024-01-01",137
14078,"aggressive_14078","Aggressive User 14078",3160,948,"2024-01-01",178
11229,"aggressive_11229","Aggressive User 11229",2546,763,"2024-01-01",84
24671,"aggressive_24671","Aggressive User 24671",3199,959,"2024-01-01",70
21414,"aggressive_21414","Aggressive User 21414",829,248,"2024-01-01",101
24677,"aggressive_24677","Aggressive User 24677",239,71,"2024-01-01",81
26009,"aggressive_26009","Aggressive User 26009",3008,902,"2024-01-01",66
17793,"aggressive_17793","Aggressive User 17793",2200,660,"2024-01-01",136
19143,"aggressive_19143","Aggressive User 19143",1311,393,"2024-01-01",113
19949,"aggressive_19949","Aggressive User 19949",1167,350,"2024-01-01",209
24689,"aggressive_24689","Aggressive User 24689",2630,789,"2024-01-01",157
21296,"aggressive_21296","Aggressive User 21296",2703,810,"2024-01-01",95
21506,"aggressive_21506","Aggressive User 21506",2360,708,"2024-01-01",199
18658,"aggressive_18658","Aggressive User 18658",3755,1126,"2024-01-01",189
20626,"aggressive_20626","Aggressive User 20626",2038,611,"2024-01-01",173
26214,"aggressive_26214","Aggressive User 26214",1394,418,"2024-01-01",76
15566,"aggressive_15566","Aggressive User 15566",3404,1021,"2024-01-01",134
25967,"aggressive_25967","Aggressive User 25967",3825,1147,"2024-01-01",105
29239,"aggressive_29239","Aggressive User 29239",1305,391,"2024-01-01",165
22441,"aggressive_22441","Aggressive User 22441",2040,612,"2024-01-01",184
21854,"aggressive_21854","Aggressive User 21854",3232,969,"2024-01-01",97
32634,"aggressive_32634","Aggressive User 32634",3521,1056,"2024-01-01",83
35948,"aggressive_35948","Aggressive User 35948",3706,1111,"2024-01-01",193
34989,"aggressive_34989","Aggressive User 34989",3193,957,"2024-01-01",164
32315,"aggressive_32315","Aggressive User 32315",1019,305,"2024-01-01",177
49914,"aggressive_49914","Aggressive User 49914",687,206,"2024-01-01",205
36318,"aggressive_36318","Aggressive User 36318",584,175,"2024-01-01",173
